[2025-06-11T07:56:39.658Z] 127.0.0.1 - GET /sw.js - UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:139.0) Gecko/20100101 Firefox/139.0
[2025-06-11T07:56:49.773Z] 127.0.0.1 - GET /sw.js - UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:139.0) Gecko/20100101 Firefox/139.0
[2025-06-11T07:56:59.881Z] 127.0.0.1 - GET /sw.js - UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:139.0) Gecko/20100101 Firefox/139.0
[2025-06-11T07:57:10.058Z] 127.0.0.1 - GET /sw.js - UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:139.0) Gecko/20100101 Firefox/139.0
[2025-06-11T07:57:21.198Z] 127.0.0.1 - GET /sw.js - UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:139.0) Gecko/20100101 Firefox/139.0
[2025-06-11T07:57:31.321Z] 127.0.0.1 - GET /sw.js - UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:139.0) Gecko/20100101 Firefox/139.0
[2025-06-11T07:57:41.561Z] 127.0.0.1 - GET /sw.js - UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:139.0) Gecko/20100101 Firefox/139.0
[2025-06-11T07:57:51.762Z] 127.0.0.1 - GET /sw.js - UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:139.0) Gecko/20100101 Firefox/139.0
[2025-06-11T07:58:01.870Z] 127.0.0.1 - GET /sw.js - UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:139.0) Gecko/20100101 Firefox/139.0
[2025-06-11T07:58:12.126Z] 127.0.0.1 - GET /sw.js - UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:139.0) Gecko/20100101 Firefox/139.0
[2025-06-11T07:58:22.215Z] 127.0.0.1 - GET /sw.js - UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:139.0) Gecko/20100101 Firefox/139.0
[2025-06-11T07:58:32.297Z] 127.0.0.1 - GET /sw.js - UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:139.0) Gecko/20100101 Firefox/139.0
[2025-06-11T07:58:42.524Z] 127.0.0.1 - GET /sw.js - UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:139.0) Gecko/20100101 Firefox/139.0
[2025-06-11T07:58:52.662Z] 127.0.0.1 - GET /sw.js - UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:139.0) Gecko/20100101 Firefox/139.0
[2025-06-11T07:59:02.783Z] 127.0.0.1 - GET /sw.js - UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:139.0) Gecko/20100101 Firefox/139.0
[2025-06-11T07:59:12.969Z] 127.0.0.1 - GET /sw.js - UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:139.0) Gecko/20100101 Firefox/139.0
[2025-06-11T07:59:23.068Z] 127.0.0.1 - GET /sw.js - UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:139.0) Gecko/20100101 Firefox/139.0
[2025-06-11T07:59:33.174Z] 127.0.0.1 - GET /sw.js - UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:139.0) Gecko/20100101 Firefox/139.0
[2025-06-11T07:59:43.534Z] 127.0.0.1 - GET /sw.js - UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:139.0) Gecko/20100101 Firefox/139.0
[2025-06-11T07:59:53.666Z] 127.0.0.1 - GET /sw.js - UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:139.0) Gecko/20100101 Firefox/139.0
[2025-06-11T08:00:03.789Z] 127.0.0.1 - GET /sw.js - UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:139.0) Gecko/20100101 Firefox/139.0
[2025-06-11T08:00:13.919Z] 127.0.0.1 - GET /sw.js - UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:139.0) Gecko/20100101 Firefox/139.0
[2025-06-11T08:00:24.032Z] 127.0.0.1 - GET /sw.js - UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:139.0) Gecko/20100101 Firefox/139.0
[2025-06-11T08:00:34.127Z] 127.0.0.1 - GET /sw.js - UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:139.0) Gecko/20100101 Firefox/139.0
[2025-06-11T08:00:44.231Z] 127.0.0.1 - GET /sw.js - UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:139.0) Gecko/20100101 Firefox/139.0
[2025-06-11T08:00:54.508Z] 127.0.0.1 - GET /sw.js - UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:139.0) Gecko/20100101 Firefox/139.0
[2025-06-11T08:01:04.628Z] 127.0.0.1 - GET /sw.js - UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:139.0) Gecko/20100101 Firefox/139.0
[2025-06-11T08:01:14.822Z] 127.0.0.1 - GET /sw.js - UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:139.0) Gecko/20100101 Firefox/139.0
[2025-06-11T08:01:24.925Z] 127.0.0.1 - GET /sw.js - UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:139.0) Gecko/20100101 Firefox/139.0
[2025-06-11T08:01:35.030Z] 127.0.0.1 - GET /sw.js - UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:139.0) Gecko/20100101 Firefox/139.0
[2025-06-11T08:01:45.130Z] 127.0.0.1 - GET /sw.js - UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:139.0) Gecko/20100101 Firefox/139.0
[2025-06-11T08:01:55.477Z] 127.0.0.1 - GET /sw.js - UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:139.0) Gecko/20100101 Firefox/139.0
[2025-06-11T08:02:05.640Z] 127.0.0.1 - GET /sw.js - UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:139.0) Gecko/20100101 Firefox/139.0
[2025-06-11T08:02:15.763Z] 127.0.0.1 - GET /sw.js - UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:139.0) Gecko/20100101 Firefox/139.0
[2025-06-11T08:02:25.859Z] 127.0.0.1 - GET /sw.js - UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:139.0) Gecko/20100101 Firefox/139.0
[2025-06-11T08:02:35.946Z] 127.0.0.1 - GET /sw.js - UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:139.0) Gecko/20100101 Firefox/139.0
[2025-06-11T08:02:46.267Z] 127.0.0.1 - GET /sw.js - UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:139.0) Gecko/20100101 Firefox/139.0
[2025-06-11T08:02:56.370Z] 127.0.0.1 - GET /sw.js - UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:139.0) Gecko/20100101 Firefox/139.0
[2025-06-11T08:03:06.536Z] 127.0.0.1 - GET /sw.js - UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:139.0) Gecko/20100101 Firefox/139.0
[2025-06-11T08:03:16.751Z] 127.0.0.1 - GET /sw.js - UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:139.0) Gecko/20100101 Firefox/139.0
[2025-06-11T08:03:25.466Z] 127.0.0.1 - GET /sw.js - UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:139.0) Gecko/20100101 Firefox/139.0
